category,item_key,name,qty,notes,aliexpress_url,amazon_url,pcbway_url,other_urls,all_urls
PCB Parts,spring,Spring,1,For battery latch mechanism. 35mm long x 7mm OD,https://s.click.aliexpress.com/e/_c38DYmvz,https://geni.us/t9JlB,,,https://s.click.aliexpress.com/e/_c38DYmvz | https://geni.us/t9JlB
Electrical,male-connector-for-peripherals,Male Connector (for peripherals),12,B2B-PH-K-S(LF)(SN),https://s.click.aliexpress.com/e/_c3eOJxcB,https://geni.us/g3jfpk7,,,https://s.click.aliexpress.com/e/_c3eOJxcB | https://geni.us/g3jfpk7
Electrical,digital-voltmeter,Digital Voltmeter,1,"DC 2.5-30V, used to measure battery voltage",https://s.click.aliexpress.com/e/_c3UuRXlD,https://geni.us/mbArXwk,,,https://s.click.aliexpress.com/e/_c3UuRXlD | https://geni.us/mbArXwk
Electrical,socket-for-connectors,Socket for Connectors,25,SPH-002T-P0.5S,https://s.click.aliexpress.com/e/_c4XMd4bp,https://geni.us/FWRkK,,,https://s.click.aliexpress.com/e/_c4XMd4bp | https://geni.us/FWRkK
Electrical,threaded-rods-long,"Threaded rods, long",5,M3 x 110mm,https://s.click.aliexpress.com/e/_c4UsQtab,https://geni.us/M8sIZIp,,,https://s.click.aliexpress.com/e/_c4UsQtab | https://geni.us/M8sIZIp
Electrical,female-connector-for-peripherals,Female Connector (for peripherals),12,PHR-2,https://s.click.aliexpress.com/e/_c3AkcVdD,https://geni.us/Auyl1wR,,,https://s.click.aliexpress.com/e/_c3AkcVdD | https://geni.us/Auyl1wR
Electrical,capacitor,Capacitor,1,"2200uF 16VDC Electrolytic RB Capacitor ,For servo board",https://s.click.aliexpress.com/e/_c4N6hXdZ,https://geni.us/Hxr7KrE,,,https://s.click.aliexpress.com/e/_c4N6hXdZ | https://geni.us/Hxr7KrE
Electrical,threaded-rods-short,"Threaded rods,short",5,M3 x 25mm,https://s.click.aliexpress.com/e/_c4ohc7TN,https://geni.us/IXWZiC0,,,https://s.click.aliexpress.com/e/_c4ohc7TN | https://geni.us/IXWZiC0
Electrical,reverse-polarity-protection-diode,Reverse Polarity Protection Diode,1,B160-13-F,https://s.click.aliexpress.com/e/_c3GnIKbp,https://geni.us/2JNVK,,,https://s.click.aliexpress.com/e/_c3GnIKbp | https://geni.us/2JNVK
Electrical,47k-resistor,47k Resistor,1,CRGCQ1206F47K,https://s.click.aliexpress.com/e/_c4c1Cx8n,https://geni.us/wGvVe,,,https://s.click.aliexpress.com/e/_c4c1Cx8n | https://geni.us/wGvVe
Misc,10k-resistor,10k resistor,1,CRGCQ0805F10K,https://s.click.aliexpress.com/e/_c4c1Cx8n,https://geni.us/aShan4,,,https://s.click.aliexpress.com/e/_c4c1Cx8n | https://geni.us/aShan4
Misc,ps4-controller,PS4 Controller,1,,https://s.click.aliexpress.com/e/_c4CvwWxp,https://geni.us/XiW4,,,https://s.click.aliexpress.com/e/_c4CvwWxp | https://geni.us/XiW4
Misc,power-delivery-wire,Power Delivery Wire,-,"Minimum 12AWG, for wires expected to carry current above 2A and/or voltage above 5V",https://s.click.aliexpress.com/e/_c3XeHXW7,https://geni.us/XebB,,,https://s.click.aliexpress.com/e/_c3XeHXW7 | https://geni.us/XebB
